"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"d:\Learn\20232_DATN\Code\Frontend\src\_mock\account.js", "JavaScript", 5, 0, 0, 1, 2, 8
"d:\Learn\20232_DATN\Code\Frontend\src\_mock\blog.js", "JavaScript", 41, 0, 0, 1, 4, 46
"d:\Learn\20232_DATN\Code\Frontend\src\_mock\cart.js", "JavaScript", 23, 0, 0, 0, 0, 23
"d:\Learn\20232_DATN\Code\Frontend\src\_mock\products.js", "JavaScript", 36, 0, 0, 2, 6, 44
"d:\Learn\20232_DATN\Code\Frontend\src\_mock\user.js", "JavaScript", 54, 0, 0, 21, 3, 78
"d:\Learn\20232_DATN\Code\Frontend\src\api\account.js", "JavaScript", 16, 0, 0, 0, 4, 20
"d:\Learn\20232_DATN\Code\Frontend\src\api\brand.js", "JavaScript", 10, 0, 0, 0, 3, 13
"d:\Learn\20232_DATN\Code\Frontend\src\api\cart.js", "JavaScript", 56, 0, 0, 0, 7, 63
"d:\Learn\20232_DATN\Code\Frontend\src\api\category.js", "JavaScript", 10, 0, 0, 0, 3, 13
"d:\Learn\20232_DATN\Code\Frontend\src\api\login.js", "JavaScript", 10, 0, 0, 0, 3, 13
"d:\Learn\20232_DATN\Code\Frontend\src\api\order.js", "JavaScript", 81, 0, 0, 0, 8, 89
"d:\Learn\20232_DATN\Code\Frontend\src\api\products.js", "JavaScript", 85, 0, 0, 0, 9, 94
"d:\Learn\20232_DATN\Code\Frontend\src\api\revenue.js", "JavaScript", 107, 0, 0, 0, 10, 117
"d:\Learn\20232_DATN\Code\Frontend\src\api\signup.js", "JavaScript", 10, 0, 0, 0, 2, 12
"d:\Learn\20232_DATN\Code\Frontend\src\api\user.js", "JavaScript", 43, 0, 0, 0, 4, 47
"d:\Learn\20232_DATN\Code\Frontend\src\app.jsx", "JavaScript JSX", 0, 12, 0, 1, 6, 19
"d:\Learn\20232_DATN\Code\Frontend\src\components\chart\chart.js", "JavaScript", 58, 0, 0, 3, 7, 68
"d:\Learn\20232_DATN\Code\Frontend\src\components\chart\index.js", "JavaScript", 2, 0, 0, 1, 3, 6
"d:\Learn\20232_DATN\Code\Frontend\src\components\chart\use-chart.js", "JavaScript", 169, 0, 0, 22, 26, 217
"d:\Learn\20232_DATN\Code\Frontend\src\components\color-utils\color-picker.jsx", "JavaScript JSX", 0, 100, 0, 1, 11, 112
"d:\Learn\20232_DATN\Code\Frontend\src\components\color-utils\color-preview.jsx", "JavaScript JSX", 0, 34, 0, 1, 8, 43
"d:\Learn\20232_DATN\Code\Frontend\src\components\color-utils\index.js", "JavaScript", 2, 0, 0, 0, 1, 3
"d:\Learn\20232_DATN\Code\Frontend\src\components\iconify\iconify.jsx", "JavaScript JSX", 0, 20, 0, 1, 6, 27
"d:\Learn\20232_DATN\Code\Frontend\src\components\iconify\index.js", "JavaScript", 1, 0, 0, 0, 1, 2
"d:\Learn\20232_DATN\Code\Frontend\src\components\label\index.js", "JavaScript", 1, 0, 0, 0, 1, 2
"d:\Learn\20232_DATN\Code\Frontend\src\components\label\label.jsx", "JavaScript JSX", 0, 50, 0, 1, 11, 62
"d:\Learn\20232_DATN\Code\Frontend\src\components\label\styles.js", "JavaScript", 62, 0, 0, 7, 9, 78
"d:\Learn\20232_DATN\Code\Frontend\src\components\logo\index.js", "JavaScript", 1, 0, 0, 0, 1, 2
"d:\Learn\20232_DATN\Code\Frontend\src\components\logo\logo.jsx", "JavaScript JSX", 0, 40, 0, 1, 13, 54
"d:\Learn\20232_DATN\Code\Frontend\src\components\notification\alter-view.jsx", "JavaScript JSX", 0, 16, 0, 0, 5, 21
"d:\Learn\20232_DATN\Code\Frontend\src\components\notification\index.js", "JavaScript", 2, 0, 0, 0, 0, 2
"d:\Learn\20232_DATN\Code\Frontend\src\components\notification\snackbar.jsx", "JavaScript JSX", 0, 20, 0, 0, 4, 24
"d:\Learn\20232_DATN\Code\Frontend\src\components\pagination\index.js", "JavaScript", 1, 0, 0, 0, 0, 1
"d:\Learn\20232_DATN\Code\Frontend\src\components\pagination\pagin.jsx", "JavaScript JSX", 0, 32, 0, 1, 2, 35
"d:\Learn\20232_DATN\Code\Frontend\src\components\scrollbar\index.js", "JavaScript", 1, 0, 0, 0, 1, 2
"d:\Learn\20232_DATN\Code\Frontend\src\components\scrollbar\scrollbar.jsx", "JavaScript JSX", 0, 34, 0, 1, 10, 45
"d:\Learn\20232_DATN\Code\Frontend\src\components\scrollbar\styles.js", "JavaScript", 21, 0, 0, 1, 5, 27
"d:\Learn\20232_DATN\Code\Frontend\src\components\svg-color\index.js", "JavaScript", 1, 0, 0, 0, 1, 2
"d:\Learn\20232_DATN\Code\Frontend\src\components\svg-color\svg-color.jsx", "JavaScript JSX", 0, 25, 0, 1, 6, 32
"d:\Learn\20232_DATN\Code\Frontend\src\global.css", "CSS", 0, 0, 6, 0, 1, 7
"d:\Learn\20232_DATN\Code\Frontend\src\hooks\use-responsive.js", "JavaScript", 29, 0, 0, 3, 16, 48
"d:\Learn\20232_DATN\Code\Frontend\src\hooks\use-scroll-to-top.js", "JavaScript", 9, 0, 0, 1, 5, 15
"d:\Learn\20232_DATN\Code\Frontend\src\layouts\dashboard\common\account-popover.jsx", "JavaScript JSX", 0, 113, 0, 2, 19, 134
