Date : 2024-06-22 21:07:44
Directory : d:\Learn\20232_DATN\Code\Frontend\src
Total : 131 files,  6097 codes, 156 comments, 899 blanks, all 7152 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |         67 |      4,311 |         71 |        621 |      5,003 |
| JavaScript     |         61 |      1,714 |         84 |        264 |      2,062 |
| CSS            |          3 |         72 |          1 |         14 |         87 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                     |        131 |      6,097 |        156 |        899 |      7,152 |
| . (Files)                                                                             |          3 |         37 |          3 |         12 |         52 |
| _mock                                                                                 |          5 |        159 |         25 |         15 |        199 |
| api                                                                                   |         10 |        428 |          0 |         53 |        481 |
| components                                                                            |         23 |        693 |         42 |        132 |        867 |
| components\chart                                                                      |          3 |        229 |         26 |         36 |        291 |
| components\color-utils                                                                |          3 |        136 |          2 |         20 |        158 |
| components\iconify                                                                    |          2 |         21 |          1 |          7 |         29 |
| components\label                                                                      |          3 |        113 |          8 |         21 |        142 |
| components\logo                                                                       |          2 |         41 |          1 |         14 |         56 |
| components\notification                                                               |          3 |         38 |          0 |          9 |         47 |
| components\pagination                                                                 |          2 |         33 |          1 |          2 |         36 |
| components\scrollbar                                                                  |          3 |         56 |          2 |         16 |         74 |
| components\svg-color                                                                  |          2 |         26 |          1 |          7 |         34 |
| hooks                                                                                 |          2 |         38 |          4 |         21 |         63 |
| layouts                                                                               |          9 |        579 |         13 |        110 |        702 |
| layouts\dashboard                                                                     |          9 |        579 |         13 |        110 |        702 |
| layouts\dashboard (Files)                                                             |          6 |        324 |          7 |         67 |        398 |
| layouts\dashboard\common                                                              |          3 |        255 |          6 |         43 |        304 |
| pages                                                                                 |         12 |        144 |         11 |         56 |        211 |
| redux                                                                                 |          3 |         38 |          0 |         10 |         48 |
| routes                                                                                |          8 |        124 |          4 |         23 |        151 |
| routes (Files)                                                                        |          1 |         83 |          1 |          6 |         90 |
| routes\components                                                                     |          2 |          9 |          1 |          6 |         16 |
| routes\hooks                                                                          |          3 |         24 |          2 |         10 |         36 |
| routes\protected                                                                      |          2 |          8 |          0 |          1 |          9 |
| sections                                                                              |         46 |      3,240 |         34 |        382 |      3,656 |
| sections\cart                                                                         |          7 |        325 |          3 |         36 |        364 |
| sections\cart (Files)                                                                 |          5 |        161 |          3 |         19 |        183 |
| sections\cart\view                                                                    |          2 |        164 |          0 |         17 |        181 |
| sections\dashboard                                                                    |          2 |        146 |          1 |          9 |        156 |
| sections\dashboard\view                                                               |          2 |        146 |          1 |          9 |        156 |
| sections\error                                                                        |          3 |        126 |          2 |         20 |        148 |
| sections\login                                                                        |          2 |        187 |          1 |         33 |        221 |
| sections\order                                                                        |          5 |        358 |          3 |         29 |        390 |
| sections\order (Files)                                                                |          3 |        304 |          2 |         23 |        329 |
| sections\order\view                                                                   |          2 |         54 |          1 |          6 |         61 |
| sections\product-detail                                                               |          2 |        232 |          1 |         20 |        253 |
| sections\product-detail\view                                                          |          2 |        232 |          1 |         20 |        253 |
| sections\product-manage                                                               |          5 |        531 |          3 |         43 |        577 |
| sections\product-manage (Files)                                                       |          3 |        339 |          2 |         30 |        371 |
| sections\product-manage\view                                                          |          2 |        192 |          1 |         13 |        206 |
| sections\products                                                                     |          6 |        441 |         11 |         68 |        520 |
| sections\products (Files)                                                             |          4 |        365 |         10 |         53 |        428 |
| sections\products\view                                                                |          2 |         76 |          1 |         15 |         92 |
| sections\signup                                                                       |          2 |        186 |          1 |         26 |        213 |
| sections\user                                                                         |          8 |        525 |          6 |         84 |        615 |
| sections\user (Files)                                                                 |          6 |        342 |          5 |         53 |        400 |
| sections\user-detail                                                                  |          4 |        183 |          2 |         14 |        199 |
| sections\user-detail (Files)                                                          |          2 |          0 |          0 |          2 |          2 |
| sections\user-detail\view                                                             |          2 |        183 |          2 |         12 |        197 |
| sections\user\view                                                                    |          2 |        183 |          1 |         31 |        215 |
| theme                                                                                 |          7 |        567 |         18 |         61 |        646 |
| utils                                                                                 |          3 |         50 |          2 |         24 |         76 |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                              | language       | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| d:\Learn\20232_DATN\Code\Frontend\src\_mock\account.js                                | JavaScript     |          5 |          1 |          2 |          8 |
| d:\Learn\20232_DATN\Code\Frontend\src\_mock\blog.js                                   | JavaScript     |         41 |          1 |          4 |         46 |
| d:\Learn\20232_DATN\Code\Frontend\src\_mock\cart.js                                   | JavaScript     |         23 |          0 |          0 |         23 |
| d:\Learn\20232_DATN\Code\Frontend\src\_mock\products.js                               | JavaScript     |         36 |          2 |          6 |         44 |
| d:\Learn\20232_DATN\Code\Frontend\src\_mock\user.js                                   | JavaScript     |         54 |         21 |          3 |         78 |
| d:\Learn\20232_DATN\Code\Frontend\src\api\account.js                                  | JavaScript     |         16 |          0 |          4 |         20 |
| d:\Learn\20232_DATN\Code\Frontend\src\api\brand.js                                    | JavaScript     |         10 |          0 |          3 |         13 |
| d:\Learn\20232_DATN\Code\Frontend\src\api\cart.js                                     | JavaScript     |         56 |          0 |          7 |         63 |
| d:\Learn\20232_DATN\Code\Frontend\src\api\category.js                                 | JavaScript     |         10 |          0 |          3 |         13 |
| d:\Learn\20232_DATN\Code\Frontend\src\api\login.js                                    | JavaScript     |         10 |          0 |          3 |         13 |
| d:\Learn\20232_DATN\Code\Frontend\src\api\order.js                                    | JavaScript     |         81 |          0 |          8 |         89 |
| d:\Learn\20232_DATN\Code\Frontend\src\api\products.js                                 | JavaScript     |         85 |          0 |          9 |         94 |
| d:\Learn\20232_DATN\Code\Frontend\src\api\revenue.js                                  | JavaScript     |        107 |          0 |         10 |        117 |
| d:\Learn\20232_DATN\Code\Frontend\src\api\signup.js                                   | JavaScript     |         10 |          0 |          2 |         12 |
| d:\Learn\20232_DATN\Code\Frontend\src\api\user.js                                     | JavaScript     |         43 |          0 |          4 |         47 |
| d:\Learn\20232_DATN\Code\Frontend\src\app.jsx                                         | JavaScript JSX |         12 |          1 |          6 |         19 |
| d:\Learn\20232_DATN\Code\Frontend\src\components\chart\chart.js                       | JavaScript     |         58 |          3 |          7 |         68 |
| d:\Learn\20232_DATN\Code\Frontend\src\components\chart\index.js                       | JavaScript     |          2 |          1 |          3 |          6 |
| d:\Learn\20232_DATN\Code\Frontend\src\components\chart\use-chart.js                   | JavaScript     |        169 |         22 |         26 |        217 |
| d:\Learn\20232_DATN\Code\Frontend\src\components\color-utils\color-picker.jsx         | JavaScript JSX |        100 |          1 |         11 |        112 |
| d:\Learn\20232_DATN\Code\Frontend\src\components\color-utils\color-preview.jsx        | JavaScript JSX |         34 |          1 |          8 |         43 |
| d:\Learn\20232_DATN\Code\Frontend\src\components\color-utils\index.js                 | JavaScript     |          2 |          0 |          1 |          3 |
| d:\Learn\20232_DATN\Code\Frontend\src\components\iconify\iconify.jsx                  | JavaScript JSX |         20 |          1 |          6 |         27 |
| d:\Learn\20232_DATN\Code\Frontend\src\components\iconify\index.js                     | JavaScript     |          1 |          0 |          1 |          2 |
| d:\Learn\20232_DATN\Code\Frontend\src\components\label\index.js                       | JavaScript     |          1 |          0 |          1 |          2 |
| d:\Learn\20232_DATN\Code\Frontend\src\components\label\label.jsx                      | JavaScript JSX |         50 |          1 |         11 |         62 |
| d:\Learn\20232_DATN\Code\Frontend\src\components\label\styles.js                      | JavaScript     |         62 |          7 |          9 |         78 |
| d:\Learn\20232_DATN\Code\Frontend\src\components\logo\index.js                        | JavaScript     |          1 |          0 |          1 |          2 |
| d:\Learn\20232_DATN\Code\Frontend\src\components\logo\logo.jsx                        | JavaScript JSX |         40 |          1 |         13 |         54 |
| d:\Learn\20232_DATN\Code\Frontend\src\components\notification\alter-view.jsx          | JavaScript JSX |         16 |          0 |          5 |         21 |
| d:\Learn\20232_DATN\Code\Frontend\src\components\notification\index.js                | JavaScript     |          2 |          0 |          0 |          2 |
| d:\Learn\20232_DATN\Code\Frontend\src\components\notification\snackbar.jsx            | JavaScript JSX |         20 |          0 |          4 |         24 |
| d:\Learn\20232_DATN\Code\Frontend\src\components\pagination\index.js                  | JavaScript     |          1 |          0 |          0 |          1 |
| d:\Learn\20232_DATN\Code\Frontend\src\components\pagination\pagin.jsx                 | JavaScript JSX |         32 |          1 |          2 |         35 |
| d:\Learn\20232_DATN\Code\Frontend\src\components\scrollbar\index.js                   | JavaScript     |          1 |          0 |          1 |          2 |
| d:\Learn\20232_DATN\Code\Frontend\src\components\scrollbar\scrollbar.jsx              | JavaScript JSX |         34 |          1 |         10 |         45 |
| d:\Learn\20232_DATN\Code\Frontend\src\components\scrollbar\styles.js                  | JavaScript     |         21 |          1 |          5 |         27 |
| d:\Learn\20232_DATN\Code\Frontend\src\components\svg-color\index.js                   | JavaScript     |          1 |          0 |          1 |          2 |
| d:\Learn\20232_DATN\Code\Frontend\src\components\svg-color\svg-color.jsx              | JavaScript JSX |         25 |          1 |          6 |         32 |
| d:\Learn\20232_DATN\Code\Frontend\src\global.css                                      | CSS            |          6 |          0 |          1 |          7 |
| d:\Learn\20232_DATN\Code\Frontend\src\hooks\use-responsive.js                         | JavaScript     |         29 |          3 |         16 |         48 |
| d:\Learn\20232_DATN\Code\Frontend\src\hooks\use-scroll-to-top.js                      | JavaScript     |          9 |          1 |          5 |         15 |
| d:\Learn\20232_DATN\Code\Frontend\src\layouts\dashboard\common\account-popover.jsx    | JavaScript JSX |        113 |          2 |         19 |        134 |
| d:\Learn\20232_DATN\Code\Frontend\src\layouts\dashboard\common\language-popover.jsx   | JavaScript JSX |         69 |          2 |         11 |         82 |
| d:\Learn\20232_DATN\Code\Frontend\src\layouts\dashboard\common\searchbar.jsx          | JavaScript JSX |         73 |          2 |         13 |         88 |
| d:\Learn\20232_DATN\Code\Frontend\src\layouts\dashboard\config-layout.js              | JavaScript     |          8 |          1 |          3 |         12 |
| d:\Learn\20232_DATN\Code\Frontend\src\layouts\dashboard\config-navigation.jsx         | JavaScript JSX |         45 |          1 |          5 |         51 |
| d:\Learn\20232_DATN\Code\Frontend\src\layouts\dashboard\header.jsx                    | JavaScript JSX |         64 |          1 |         15 |         80 |
| d:\Learn\20232_DATN\Code\Frontend\src\layouts\dashboard\index.jsx                     | JavaScript JSX |         27 |          1 |          9 |         37 |
| d:\Learn\20232_DATN\Code\Frontend\src\layouts\dashboard\main.jsx                      | JavaScript JSX |         33 |          1 |          9 |         43 |
| d:\Learn\20232_DATN\Code\Frontend\src\layouts\dashboard\nav.jsx                       | JavaScript JSX |        147 |          2 |         26 |        175 |
| d:\Learn\20232_DATN\Code\Frontend\src\main.jsx                                        | JavaScript JSX |         19 |          2 |          5 |         26 |
| d:\Learn\20232_DATN\Code\Frontend\src\pages\cart.jsx                                  | JavaScript JSX |         12 |          1 |          5 |         18 |
| d:\Learn\20232_DATN\Code\Frontend\src\pages\dashboard.jsx                             | JavaScript JSX |         12 |          1 |          4 |         17 |
